MRCA,Non-duplication Per,Duplication Per,Non-duplication,Duplication,Total,group
N3,98.59649123,1.403508772,281,4,285,Null_summary
N4,93.38235294,6.617647059,254,18,272,Null_summary
N5,89.23766816,10.76233184,199,24,223,Null_summary
N6,83.42245989,16.57754011,156,31,187,Null_summary
N7,84.3575419,15.6424581,151,28,179,Null_summary
N8,79.00552486,20.99447514,143,38,181,Null_summary
N2,91.66666667,8.333333333,286,26,312,Null_summary
N3,98.28767123,1.712328767,287,5,292,Null_summary
N4,93.79562044,6.204379562,257,17,274,Null_summary
N5,92.760181,7.239819005,205,16,221,Null_summary
N6,81.38297872,18.61702128,153,35,188,Null_summary
N7,86.1878453,13.8121547,156,25,181,Null_summary
N8,79.78142077,20.21857923,146,37,183,Null_summary
N2,91.69139466,8.308605341,309,28,337,Null_summary
N3,98.68852459,1.31147541,301,4,305,Null_summary
N4,91.22807018,8.771929825,260,25,285,Null_summary
N5,92.24137931,7.75862069,214,18,232,Null_summary
N6,79.18781726,20.81218274,156,41,197,Null_summary
N7,84.53608247,15.46391753,164,30,194,Null_summary
N8,84.97409326,15.02590674,164,29,193,Null_summary
N2,90.25157233,9.748427673,287,31,318,Null_summary
N3,98.95104895,1.048951049,283,3,286,Null_summary
N4,92.44604317,7.553956835,257,21,278,Null_summary
N5,89.51965066,10.48034934,205,24,229,Null_summary
N6,84.18079096,15.81920904,149,28,177,Null_summary
N7,80.47337278,19.52662722,136,33,169,Null_summary
N8,80.55555556,19.44444444,145,35,180,Null_summary
N2,88.15789474,11.84210526,268,36,304,Null_summary
N3,98.89705882,1.102941176,269,3,272,Null_summary
N4,92.93680297,7.063197026,250,19,269,Null_summary
N5,90.04329004,9.956709957,208,23,231,Null_summary
N6,83.15789474,16.84210526,158,32,190,Null_summary
N7,84.09090909,15.90909091,148,28,176,Null_summary
N8,83.60655738,16.39344262,153,30,183,Null_summary
N2,88.88888889,11.11111111,272,34,306,Null_summary
N3,98.23321555,1.766784452,278,5,283,Null_summary
N4,92.33576642,7.664233577,253,21,274,Null_summary
N5,89.83050847,10.16949153,212,24,236,Null_summary
